Team_Name,Pts_Scored,Pts_Al,Win,TDs,First_Sc,Second_Sc,Third_Sc,Fourth_Sc,First_Al,Second_Al,Third_Al,Fourth_Al,Off_Plys,Rush_Plys,Pass_Plys,Fumbles,Yds_Ply,Yds_Rush,Yds_Pass,Total_Yds_Gm,Total_Rush_Yds_Gm,Total_Pass_Yds_Gm,Yds_Ply_Al,Yds_Rush_Al,Yds_Pass_Al,Total_Yds_Gm_Al,Total_Rush_Yds_Gm_Al,Total_Pass_Yds_Gm_Al,Off_Plys_Al,Rush_Plys_Al,Pass_Plys_Al,Completion_Rate,Pass_Att,Pass_TDs,INTs,Sacks_Taken,Rush_TDs,Rush_Att,Pass_1Ds_Gm,Rush_1Ds_Gm,First_Ds_Gm,Third_Conv_Perc,Fourth_Conv_Perc,Sacks_Gm,INT_Gm,Fumbles_Caused,TO_Gm,FG_Att,FG_Perc_Comp,PAT_Att,PAT_Perc_Comp,Punts,Avg_Punt_Yds_Gm,Avg_Punt_Ret_Yds_Gm,Avg_Punt_Ret_Yds_Opp_Gm,Total_Punt_Ret_Yds_Gm,Total_Punt_Ret_Yds_Opp_Gm,Punt_Ret_TD,Punt_Ret_TD_Opp,Avg_Kick_Ret_Yds_Gm,Avg_Kick_Ret_Yds_Opp_Gm,Kick_Ret_TD_Opp,Kick_Ret_TD,Penalties,Penalty_Gm,Penalty_Yds_Gm,Playoff_app_5_yrs,Superbowl_Win,Draft_Pos,Week_Of_Szn,Perc_Pro_Bowl,Opp_Name,Year
Bears,27.0,23.0,1.0,3.0,3.0,3.0,0.0,21.0,3.0,10.0,10.0,0.0,65.0,28.0,36.0,0.0,5.6,5.3,6.7,363.0,149.0,214.0,5.6,4.8,7.1,426.0,138.0,288.0,72.0,29.0,42.0,0.5555555555555556,36.0,3.0,0.0,1.0,0.0,28.0,15.0,7.0,26.0,18.0,50.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,5.0,42.6,0.0,16.0,0.0,16.0,0.0,0.0,36.666666666666664,33.0,0.0,0.0,6-48,6.0,48.0,1.0,0.0,43.0,1.0,0.1509433962264151,LionsDetroit,2020.0
Bears,17.0,13.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,64.0,32.0,28.0,0.0,4.8,4.2,6.8,304.0,135.0,169.0,4.8,4.2,6.0,295.0,75.0,220.0,62.0,18.0,40.0,0.6428571428571429,28.0,2.0,2.0,4.0,0.0,32.0,11.0,7.0,18.0,56.0,100.0,4.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,3.0,44.7,0.0,0.0,0.0,11.0,0.0,0.0,23.25,28.0,0.0,0.0,5-48,5.0,48.0,1.0,0.0,43.0,2.0,0.1509433962264151,Giants,2020.0
Bears,30.0,26.0,1.0,4.0,3.0,7.0,0.0,20.0,6.0,10.0,10.0,0.0,78.0,25.0,51.0,0.0,5.6,5.2,6.2,437.0,130.0,307.0,5.6,5.8,6.3,371.0,144.0,227.0,65.0,25.0,38.0,0.5686274509803921,51.0,4.0,2.0,2.0,0.0,25.0,14.0,8.0,24.0,26.0,50.0,2.0,1.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,53.8,3.0,5.335,6.0,32.0,0.0,0.0,30.333333333333332,13.0,0.0,0.0,10-80,10.0,80.0,1.0,0.0,43.0,3.0,0.1509433962264151,FalconsAtlanta,2020.0
Bears,11.0,19.0,0.0,1.0,0.0,3.0,0.0,8.0,7.0,6.0,3.0,3.0,59.0,16.0,42.0,0.0,4.6,1.8,5.9,269.0,28.0,241.0,4.6,2.7,6.6,289.0,103.0,186.0,68.0,38.0,29.0,0.6190476190476191,42.0,1.0,1.0,1.0,0.0,16.0,12.0,2.0,16.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,44.7,6.0,10.5,18.0,42.0,0.0,0.0,18.25,28.0,0.0,0.0,8-103,8.0,103.0,1.0,0.0,43.0,4.0,0.1509433962264151,ColtsIndianapolis,2020.0
Bears,20.0,19.0,1.0,2.0,0.0,14.0,0.0,6.0,10.0,3.0,3.0,3.0,59.0,14.0,42.0,0.0,4.1,2.5,5.8,243.0,35.0,208.0,4.1,5.3,6.2,339.0,106.0,233.0,64.0,20.0,41.0,0.7142857142857143,42.0,1.0,1.0,3.0,1.0,14.0,14.0,2.0,18.0,30.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,45.6,6.0,10.0,6.0,20.0,0.0,0.0,39.666666666666664,25.0,0.0,0.0,6-66,6.0,66.0,1.0,0.0,43.0,5.0,0.1509433962264151,Bay,2020.0
Bears,23.0,16.0,1.0,2.0,7.0,6.0,7.0,3.0,3.0,3.0,0.0,10.0,64.0,25.0,39.0,0.0,4.1,2.5,5.1,261.0,63.0,198.0,4.1,3.9,7.4,303.0,112.0,191.0,62.0,29.0,29.0,0.5897435897435898,39.0,1.0,1.0,0.0,1.0,25.0,14.0,5.0,22.0,50.0,0.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,44.2,0.0,9.0,0.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,10-92,10.0,92.0,1.0,0.0,43.0,6.0,0.1509433962264151,PanthersCarolina,2020.0
Bears,10.0,24.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,3.0,14.0,0.0,61.0,17.0,40.0,0.0,4.6,2.9,6.5,279.0,49.0,230.0,4.6,4.7,6.7,371.0,160.0,211.0,68.0,34.0,33.0,0.7,40.0,0.0,2.0,4.0,0.0,17.0,9.0,4.0,14.0,28.0,25.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,47.6,0.0,0.0,0.0,14.0,0.0,0.0,23.5,20.5,0.0,0.0,6-46,6.0,46.0,1.0,0.0,43.0,7.0,0.1509433962264151,Rams,2020.0
Bears,23.0,26.0,0.0,2.0,3.0,10.0,0.0,10.0,3.0,7.0,6.0,7.0,69.0,23.0,41.0,0.0,4.8,4.2,6.6,329.0,96.0,233.0,4.8,4.1,6.8,394.0,122.0,272.0,72.0,30.0,41.0,0.6829268292682927,41.0,2.0,1.0,5.0,0.0,23.0,12.0,5.0,18.0,33.0,66.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,50.0,5.67,22.33,17.0,67.0,0.0,0.0,15.25,18.8,0.0,0.0,7-53,7.0,53.0,1.0,0.0,43.0,8.0,0.1509433962264151,Orleans,2020.0
Bengals,13.0,16.0,0.0,1.0,7.0,0.0,6.0,0.0,0.0,6.0,0.0,10.0,67.0,28.0,36.0,1.0,4.4,4.4,5.4,295.0,122.0,173.0,4.4,4.0,6.9,362.0,155.0,207.0,71.0,39.0,30.0,0.6388888888888888,36.0,0.0,1.0,3.0,1.0,28.0,14.0,5.0,19.0,42.0,0.0,2.0,0.0,0.0,0.0,3.0,0.6666666666666666,1.0,1.0,6.0,55.0,14.5,3.5,29.0,7.0,0.0,0.0,44.0,46.0,0.0,0.0,7-44,7.0,44.0,1.0,0.0,1.0,1.0,0.018867924528301886,Chargers,2020.0
Bengals,30.0,35.0,0.0,3.0,3.0,10.0,3.0,14.0,7.0,14.0,7.0,7.0,88.0,24.0,61.0,1.0,4.0,2.8,5.2,353.0,68.0,285.0,4.0,6.1,9.5,434.0,215.0,219.0,58.0,35.0,23.0,0.6065573770491803,61.0,3.0,0.0,3.0,0.0,24.0,20.0,7.0,30.0,44.0,100.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,49.0,0.0,13.0,0.0,13.0,0.0,0.0,43.5,0.0,0.0,0.0,4-45,4.0,45.0,1.0,0.0,1.0,2.0,0.018867924528301886,BrownsCleveland,2020.0
