Team_Name,Pts_Scored,Pts_Al,Win,TDs,First_Sc,Second_Sc,Third_Sc,Fourth_Sc,First_Al,Second_Al,Third_Al,Fourth_Al,Off_Plys,Rush_Plys,Pass_Plys,Fumbles,Yds_Ply,Yds_Rush,Yds_Pass,Total_Yds_Gm,Total_Rush_Yds_Gm,Total_Pass_Yds_Gm,Yds_Ply_Al,Yds_Rush_Al,Yds_Pass_Al,Total_Yds_Gm_Al,Total_Rush_Yds_Gm_Al,Total_Pass_Yds_Gm_Al,Off_Plys_Al,Rush_Plys_Al,Pass_Plys_Al,Completion_Rate,Pass_Att,Pass_TDs,INTs,Sacks_Taken,Rush_TDs,Rush_Att,Pass_1Ds_Gm,Rush_1Ds_Gm,First_Ds_Gm,Third_Conv_Perc,Fourth_Conv_Perc,Sacks_Gm,INT_Gm,Fumbles_Caused,TO_Gm,FG_Att,FG_Perc_Comp,PAT_Att,PAT_Perc_Comp,Punts,Avg_Punt_Yds_Gm,Avg_Punt_Ret_Yds_Gm,Avg_Punt_Ret_Yds_Opp_Gm,Total_Punt_Ret_Yds_Gm,Total_Punt_Ret_Yds_Opp_Gm,Punt_Ret_TD,Punt_Ret_TD_Opp,Avg_Kick_Ret_Yds_Gm,Avg_Kick_Ret_Yds_Opp_Gm,Kick_Ret_TD_Opp,Kick_Ret_TD,Penalties,Penalty_Gm,Penalty_Yds_Gm,Playoff_app_5_yrs,Superbowl_Win,Draft_Pos,Week_Of_Szn,Perc_Pro_Bowl,Opp_Name,Year
Bears,3.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,65.0,15.0,45.0,0.0,3.9,3.1,5.1,254.0,46.0,208.0,3.9,2.1,6.8,213.0,47.0,166.0,57.0,22.0,30.0,0.5777777777777777,45.0,0.0,1.0,5.0,0.0,15.0,10.0,3.0,16.0,20.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0,8.0,42.6,9.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10-107,10.0,107.0,1.0,0.0,73.0,1.0,0.09433962264150944,Bay,2019.0
Bears,16.0,14.0,1.0,1.0,0.0,6.0,7.0,3.0,3.0,0.0,0.0,11.0,56.0,29.0,27.0,0.0,4.9,5.3,4.4,273.0,153.0,120.0,4.9,3.8,5.8,372.0,90.0,282.0,76.0,24.0,50.0,0.5925925925925926,27.0,0.0,0.0,0.0,1.0,29.0,7.0,7.0,18.0,27.0,100.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,57.4,7.0,8.75,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,7-65,7.0,65.0,1.0,0.0,73.0,2.0,0.09433962264150944,BroncosDenver,2019.0
Bears,31.0,15.0,1.0,3.0,7.0,21.0,0.0,3.0,0.0,3.0,6.0,6.0,58.0,24.0,31.0,0.0,5.1,3.8,7.5,298.0,90.0,208.0,5.1,3.3,7.7,356.0,69.0,287.0,68.0,21.0,43.0,0.8064516129032258,31.0,3.0,1.0,3.0,0.0,24.0,15.0,2.0,21.0,61.0,0.0,4.0,3.0,2.0,5.0,2.0,0.5,4.0,1.0,3.0,46.7,3.0,7.5,3.0,15.0,0.0,0.0,26.0,34.0,0.0,0.0,9-59,9.0,59.0,1.0,0.0,73.0,3.0,0.09433962264150944,RedskinsWashington,2019.0
Bears,16.0,6.0,1.0,1.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,6.0,67.0,33.0,33.0,0.0,4.0,2.2,6.2,269.0,72.0,197.0,4.0,2.5,6.5,222.0,40.0,182.0,58.0,16.0,36.0,0.7272727272727273,33.0,1.0,0.0,1.0,0.0,33.0,11.0,4.0,17.0,31.0,66.0,6.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,48.2,16.0,3.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7-50,7.0,50.0,1.0,0.0,73.0,4.0,0.09433962264150944,VikingsMinnesota,2019.0
Bears,21.0,24.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,17.0,0.0,7.0,51.0,17.0,30.0,0.0,4.6,2.5,7.7,236.0,42.0,194.0,4.6,4.3,7.2,398.0,169.0,229.0,71.0,39.0,32.0,0.7333333333333333,30.0,2.0,2.0,4.0,1.0,17.0,12.0,1.0,15.0,36.0,0.0,0.0,0.0,2.0,2.0,0.0,,3.0,1.0,5.0,42.6,36.0,13.0,72.0,13.0,0.0,0.0,31.0,52.0,0.0,0.0,10-75,10.0,75.0,1.0,0.0,73.0,5.0,0.09433962264150944,RaidersOakland,2019.0
Bears,25.0,36.0,0.0,2.0,7.0,3.0,0.0,15.0,9.0,3.0,14.0,10.0,63.0,7.0,54.0,2.0,4.0,2.4,4.6,252.0,17.0,235.0,4.0,4.3,7.4,424.0,151.0,273.0,74.0,35.0,38.0,0.6296296296296297,54.0,2.0,0.0,2.0,0.0,7.0,16.0,0.0,16.0,16.0,50.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,43.8,3.0,9.2,6.0,46.0,0.0,0.0,40.75,18.0,0.0,1.0,3-10,3.0,10.0,1.0,0.0,73.0,7.0,0.09433962264150944,Orleans,2019.0
Bears,16.0,17.0,0.0,1.0,0.0,9.0,7.0,0.0,0.0,7.0,3.0,7.0,77.0,38.0,35.0,1.0,5.0,4.3,7.2,388.0,162.0,226.0,5.0,3.0,6.9,231.0,36.0,195.0,42.0,12.0,29.0,0.6571428571428571,35.0,0.0,1.0,4.0,1.0,38.0,9.0,12.0,26.0,35.0,100.0,1.0,1.0,0.0,1.0,5.0,0.6,1.0,1.0,3.0,41.0,10.0,0.0,50.0,0.0,0.0,0.0,27.25,20.0,0.0,0.0,5-42,5.0,42.0,1.0,0.0,73.0,8.0,0.09433962264150944,Chargers,2019.0
Bears,14.0,22.0,0.0,2.0,0.0,0.0,7.0,7.0,3.0,9.0,7.0,3.0,42.0,18.0,21.0,1.0,3.9,3.4,6.0,164.0,62.0,102.0,3.9,4.2,6.1,373.0,146.0,227.0,78.0,35.0,39.0,0.47619047619047616,21.0,0.0,0.0,3.0,2.0,18.0,3.0,6.0,10.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,,2.0,1.0,8.0,46.5,9.0,1.0,36.0,2.0,0.0,0.0,11.333333333333334,15.5,0.0,0.0,9-70,9.0,70.0,1.0,0.0,73.0,9.0,0.09433962264150944,EaglesPhiladelphia,2019.0
Bears,20.0,13.0,1.0,3.0,0.0,7.0,13.0,0.0,3.0,3.0,0.0,7.0,52.0,24.0,23.0,0.0,4.3,3.4,7.5,226.0,81.0,145.0,4.3,3.6,5.8,357.0,98.0,259.0,75.0,27.0,46.0,0.6956521739130435,23.0,3.0,0.0,5.0,0.0,24.0,7.0,4.0,13.0,16.0,100.0,2.0,1.0,0.0,1.0,0.0,,3.0,0.6666666666666666,9.0,43.0,4.5,9.0,9.0,27.0,0.0,0.0,25.25,22.0,0.0,0.0,7-57,7.0,57.0,1.0,0.0,73.0,10.0,0.09433962264150944,LionsDetroit,2019.0
Bears,7.0,17.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,7.0,74.0,24.0,47.0,0.0,3.6,3.1,4.2,267.0,74.0,193.0,3.6,3.2,9.6,283.0,110.0,173.0,52.0,34.0,18.0,0.5319148936170213,47.0,1.0,1.0,3.0,0.0,24.0,10.0,5.0,17.0,35.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,28.333333333333332,27.0,0.0,0.0,2-25,2.0,25.0,1.0,0.0,73.0,11.0,0.09433962264150944,Rams,2019.0
